"clusterid","birthorder","rural","facilitybirth","age","married","educat","wealth","pca","svyweight","latitude","longitude","xvar","yvar","surface_var"
7,4,1,0,27.5,0,1,-10.9094,-0.56803465,465294,18.473471,-74.17063,-6450.8842448588,2053.01165144445,1.14594061701376e-16
7,4,1,0,32.833332,1,1,-8.8969,-0.40980199,465294,18.473471,-74.17063,-6450.8842448588,2053.01165144445,1.14594061701376e-16
7,3,1,0,37.583332,1,1,-7.5549,-0.30428734,465294,18.473471,-74.17063,-6450.8842448588,2053.01165144445,1.14594061701376e-16
7,4,1,0,26.5,1,1,-10.8342,-0.56212205,465294,18.473471,-74.17063,-6450.8842448588,2053.01165144445,1.14594061701376e-16
8,1,0,1,34.75,0,2,21.8539,2.9282069,1341980,18.529235,-72.39375,-6296.34265343637,2059.20887024167,48.5205381665708
8,3,0,0,39.166668,1,2,11.7444,2.1333482,1341980,18.529235,-72.39375,-6296.34265343637,2059.20887024167,48.5205381665708
9,1,1,0,16.5,0,1,-11.3307,-0.60115933,550637,18.234447,-73.994981,-6435.60742481932,2026.44820503122,0
9,1,1,0,20.25,0,2,-8.1277,0.5709061,550637,18.234447,-73.994981,-6435.60742481932,2026.44820503122,0
9,2,1,0,26.416666,1,1,-11.3525,-0.60287333,550637,18.234447,-73.994981,-6435.60742481932,2026.44820503122,0
9,1,1,0,24.75,1,2,-11.0046,0.34471005,550637,18.234447,-73.994981,-6435.60742481932,2026.44820503122,0
9,3,1,0,34.5,1,0,-11.1239,-1.5051295,550637,18.234447,-73.994981,-6435.60742481932,2026.44820503122,0
10,3,1,1,32.75,1,1,8.7934,0.98109639,657218,18.294054,-72.514635,-6306.85645306217,2033.07250782237,1.36223441517292e-09
10,3,1,1,29,1,2,9.8522,1.9845742,657218,18.294054,-72.514635,-6306.85645306217,2033.07250782237,1.36223441517292e-09
10,1,1,1,26.333334,1,3,-4.6356,1.7657019,657218,18.294054,-72.514635,-6306.85645306217,2033.07250782237,1.36223441517292e-09
11,1,1,0,29.25,1,2,2.1397,1.3781796,101750,18.645383,-72.27539,-6286.0484620668,2072.11674214576,0.000206241531745452
11,1,1,0,19.25,0,2,3.5776,1.4912343,101750,18.645383,-72.27539,-6286.0484620668,2072.11674214576,0.000206241531745452
11,1,1,0,14.75,0,1,0.4755,0.32710218,101750,18.645383,-72.27539,-6286.0484620668,2072.11674214576,0.000206241531745452
11,2,1,0,24.583334,1,2,3.595,1.4926023,101750,18.645383,-72.27539,-6286.0484620668,2072.11674214576,0.000206241531745452
11,3,1,0,25.916666,1,1,-5.9397,-0.17729238,101750,18.645383,-72.27539,-6286.0484620668,2072.11674214576,0.000206241531745452
12,3,1,0,24.5,1,1,-6.0613,-0.18685317,673342,19.802781,-73.177004,-6364.46504754739,2200.74181641353,1.23817098324677e-05
15,7,0,0,47.583332,1,2,9.8864,1.9872632,1377158,18.545993,-72.348297,-6292.38944390341,2061.0712365103,33.5815841525756
15,1,0,0,19.916666,1,2,9.4008,1.949083,1377158,18.545993,-72.348297,-6292.38944390341,2061.0712365103,33.5815841525756
16,1,1,1,16.833334,0,1,-2.3278,0.10669297,819231,18.837036,-72.213514,-6280.66688564585,2093.41570875763,2.08674421666661e-10
16,3,1,0,30.333334,0,1,-1.4786,0.17346124,819231,18.837036,-72.213514,-6280.66688564585,2093.41570875763,2.08674421666661e-10
16,2,1,0,20.666666,0,1,-10.3354,-0.52290392,819231,18.837036,-72.213514,-6280.66688564585,2093.41570875763,2.08674421666661e-10
16,2,1,0,28.333334,1,2,-2.8932,0.98246819,819231,18.837036,-72.213514,-6280.66688564585,2093.41570875763,2.08674421666661e-10
17,1,1,1,29.583334,0,2,-10.6603,0.3717806,860498,19.640495,-72.551586,-6310.07021332997,2182.70649165695,3.50108312766823
17,1,1,1,18.666666,0,2,-10.6603,0.3717806,860498,19.640495,-72.551586,-6310.07021332997,2182.70649165695,3.50108312766823
17,5,1,0,33.833332,1,2,-9.5382,0.46000564,860498,19.640495,-72.551586,-6310.07021332997,2182.70649165695,3.50108312766823
17,2,1,1,32.583332,1,2,-3.1859,0.95945472,860498,19.640495,-72.551586,-6310.07021332997,2182.70649165695,3.50108312766823
17,4,1,0,27.833334,1,2,-4.5459,0.85252482,860498,19.640495,-72.551586,-6310.07021332997,2182.70649165695,3.50108312766823
17,1,1,0,27.75,1,1,-7.3879,-0.29115698,860498,19.640495,-72.551586,-6310.07021332997,2182.70649165695,3.50108312766823
17,3,1,0,28.833334,1,1,-4.0045,-0.025137434,860498,19.640495,-72.551586,-6310.07021332997,2182.70649165695,3.50108312766823
17,4,1,0,23.916666,1,1,-4.2631,-0.045469839,860498,19.640495,-72.551586,-6310.07021332997,2182.70649165695,3.50108312766823
19,1,0,1,17.5,0,2,6.2287,1.6996769,1626461,18.566152,-72.305476,-6288.66514879834,2063.31156600125,31.3578044196504
19,3,0,1,43.25,1,2,9.1447,1.9289471,1626461,18.566152,-72.305476,-6288.66514879834,2063.31156600125,31.3578044196504
20,1,0,1,20.75,0,2,8.7548,1.8982912,1287860,18.57305,-72.33613,-6291.33123651583,2064.07816121076,17.3570997247201
20,1,0,0,23,1,2,4.8852,1.5940443,1287860,18.57305,-72.33613,-6291.33123651583,2064.07816121076,17.3570997247201
20,6,0,0,38.166668,1,1,6.8442,0.82784069,1287860,18.57305,-72.33613,-6291.33123651583,2064.07816121076,17.3570997247201
20,3,0,0,29.166666,1,0,8.408,0.030564589,1287860,18.57305,-72.33613,-6291.33123651583,2064.07816121076,17.3570997247201
21,2,1,0,24.666666,1,0,-9.2159,-1.3551131,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,1,1,0,17.25,1,1,-9.0562,-0.42232692,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,2,1,0,19.25,1,1,-9.0562,-0.42232692,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,1,1,0,23.666666,0,2,-11.3399,0.31834713,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,3,1,0,29.916666,0,0,-11.7365,-1.553295,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,4,1,0,28.916666,0,0,-8.5951,-1.3063028,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,5,1,0,23.916666,0,1,-10.6189,-0.54519409,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,1,1,0,16.583334,0,1,-10.6189,-0.54519409,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,3,1,0,23.583334,1,1,-11.7815,-0.63660342,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,3,1,0,29.416666,1,1,-8.7045,-0.39467454,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,1,1,0,28.916666,0,2,-11.9285,0.2720685,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
21,5,1,0,35.416668,1,2,-6.4764,0.70073938,660665,19.426681,-72.077503,-6268.83752384823,2158.94470735329,0.000154682138166769
22,3,0,0,34.75,1,1,15.6365,1.5191345,1248916,18.526342,-72.287646,-6287.11441010182,2058.88736256682,22.7330319231735
22,5,0,0,40.083332,1,2,11.6416,2.1252656,1248916,18.526342,-72.287646,-6287.11441010182,2058.88736256682,22.7330319231735
